Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Total RAM Usage (MB),Total RAM Usage (%),CPU Usage (%)
5,1,1,3,29,6873,6849,23,2546,3.901975393,8.800920486
5,1,1,3,30,7180,7156,24,2540,3.892780066,9.468975067
6,1,1,4,1,255,254,1,2548,3.905040741,14.16836548
6,1,1,4,2,529,527,2,2548,3.905040741,17.17943573
6,1,1,4,3,793,790,3,2548,3.905040741,16.51530266
6,1,1,4,4,1065,1061,3,2550,3.90810585,16.38479233
6,1,1,4,5,1347,1342,5,2552,3.911170959,13.57605457
6,1,1,4,6,1645,1639,6,2553,3.912703753,7.29963541
6,1,1,4,7,1934,1927,7,2548,3.905040741,9.942669868
6,1,1,4,8,2273,2265,7,2550,3.90810585,7.978425026
6,1,1,4,9,2533,2524,9,2550,3.90810585,8.081475258
6,1,1,4,10,2827,2817,9,2548,3.905040741,10.83670521
6,1,1,4,11,3092,3081,11,2551,3.909638405,8.885643005
6,1,1,4,12,3483,3471,12,2551,3.909638405,8.539702415
6,1,1,4,13,3773,3760,13,2549,3.906573296,8.945035934
6,1,1,4,14,4062,4048,13,2547,3.903508186,9.919895172
6,1,1,4,15,4398,4383,14,2546,3.901975393,9.216440201
6,1,1,4,16,4738,4719,19,2546,3.901975393,7.555625439
6,1,1,4,17,4991,4971,19,2548,3.905040741,10.19085884
6,1,1,4,18,5356,5338,17,2547,3.903508186,10.83669472
6,1,1,4,19,5661,5642,18,2551,3.909638405,8.753275871
6,1,1,4,20,6087,6068,19,2554,3.914236307,10.32662392
6,1,1,4,21,6393,6372,20,2547,3.903508186,14.89975166
6,1,1,4,22,6768,6746,22,2549,3.906573296,12.49426746
6,1,1,4,23,7041,7019,22,2552,3.911170959,9.37101841
6,1,1,4,24,7399,7375,24,2552,3.911170959,10.57831669
6,1,1,4,25,7767,7741,25,2554,3.914236307,8.498887062
6,1,1,4,26,8183,8154,28,2546,3.901975393,9.92345047
6,1,1,4,27,8498,8468,30,2550,3.90810585,15.77445889
6,1,1,4,28,8913,8884,28,2549,3.906573296,14.6574173
6,1,1,4,29,9304,9275,28,2547,3.903508186,8.780105591
6,1,1,4,30,9682,9652,29,2546,3.901975393,16.4617157
6,1,1,4,1,265,264,1,2562,3.926496983,17.10350227
