Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Unity RAM Usage (MB),DTs RAM Usage (MB),Services RAM Usage (MB),Total RAM Usage (MB),Unity RAM Usage (%),DTs RAM Usage (%),Services RAM Usage (%),Total RAM Usage (%),DTs CPU Usage (%),Services CPU Usage (%),Unity CPU Usage (%),Total CPU Usage (%)
13,1,3,9,28,511,412,98,3902,44.9375,109.9101563,4056.847656,5.980168343,0.06887079,0.168447271,6.217486382,0,0,18.21531868,18.21531868
13,1,3,9,29,580,478,102,3902,44.921875,109.9960938,4056.917969,5.980168343,0.068846844,0.168578967,6.217594147,0,0,14.795578,14.795578
13,1,3,9,30,650,547,103,3904,44.90234375,110.015625,4058.917969,5.983233452,0.068816908,0.168608904,6.220659256,0,0,15.53195572,15.53195572
14,1,3,10,1,85,61,23,3126,34.34375,155.9726563,3316.316406,4.790877819,0.052634906,0.239042222,5.082554817,0.389585584,0,14.03474045,14.42432594
14,1,3,10,2,59,49,9,3090,37.90625,146.1289063,3274.035156,4.735704899,0.058094759,0.22395578,5.017755508,0.193964913,0,14.75627613,14.95024109
14,1,3,10,3,72,62,9,3091,40.76953125,135.5351563,3267.304688,4.737237453,0.062482998,0.207719892,5.007440567,0,0,13.11711502,13.11711502
14,1,3,10,4,73,60,12,2908,40.79296875,127.5703125,3076.363281,4.456773281,0.062518917,0.195513055,4.714805126,0.190235794,0,15.1199789,15.310215
14,1,3,10,5,92,75,16,2909,40.875,126.4023438,3076.277344,4.458305836,0.062644638,0.193723038,4.714673519,0,0,16.03269958,16.03269958
14,1,3,10,6,100,71,28,2885,41.1015625,126.3085938,3052.410156,4.421523571,0.062991865,0.193579361,4.678094864,0,0,17.1239357,17.1239357
14,1,3,10,7,108,84,23,2885,41.1328125,126.3203125,3052.453125,4.421523571,0.063039757,0.193597317,4.678160667,0.191074789,0,13.97671127,14.16778564
14,1,3,10,8,120,93,26,2886,41.2109375,126.3007813,3053.511719,4.423056126,0.063159496,0.19356738,4.679782867,0,0,14.53394127,14.53394127
14,1,3,10,9,132,103,28,2889,41.22265625,125.5664063,3055.789063,4.427654266,0.063177451,0.192441881,4.683273792,0,0,13.22722626,13.22722626
14,1,3,10,10,158,124,33,2891,41.20703125,122.3828125,3054.589844,4.430719376,0.063153505,0.187562734,4.681435585,0,0,14.82831669,14.82831669
14,1,3,10,11,166,129,36,2891,40.87890625,122.3984375,3054.277344,4.430719376,0.062650628,0.18758668,4.680956841,0,0,14.8512888,14.8512888
14,1,3,10,12,183,142,41,2893,40.9375,122.3984375,3056.335938,4.433784485,0.062740423,0.18758668,4.684111595,0,0,11.55978203,11.55978203
14,1,3,10,13,201,154,46,2896,41.0546875,122.3984375,3059.453125,4.438382149,0.062920026,0.18758668,4.688889027,0,0,13.90305901,13.90305901
14,1,3,10,14,224,169,55,2900,41.21484375,123.0742188,3064.289063,4.444512367,0.063165478,0.188622385,4.69630003,0,0,12.66746521,12.66746521
14,1,3,10,15,247,191,56,2900,41.296875,122.8828125,3064.179688,4.444512367,0.0632912,0.188329041,4.69613266,0,0,14.25186825,14.25186825
14,1,3,10,16,309,250,59,2900,41.4140625,122.8710938,3064.285156,4.444512367,0.063470803,0.18831107,4.696294308,0,0,12.35153198,12.35153198
14,1,3,10,17,324,260,64,2904,41.4140625,122.1679688,3067.582031,4.450643063,0.063470803,0.187233478,4.701347351,0,0,14.76587486,14.76587486
14,1,3,10,18,314,241,72,2906,41.7578125,122.2226563,3069.980469,4.453708172,0.063997626,0.187317282,4.705023289,0,0,14.39323711,14.39323711
14,1,3,10,19,329,260,68,2906,42.11328125,122.234375,3070.347656,4.453708172,0.064542413,0.187335253,4.705585957,0,0,12.1231842,12.1231842
14,1,3,10,20,440,360,79,2906,42.46875,122.8671875,3071.335938,4.453708172,0.065087207,0.188305095,4.707100391,0,0,13.6637001,13.6637001
