Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Total RAM Usage (MB),Total RAM Usage (%),CPU Usage (%)
6,1,1,4,16,4707,4694,13,2560,3.923431873,9.000853539
6,1,1,4,17,5105,5094,11,2560,3.923431873,10.09511948
6,1,1,4,18,5329,5318,11,2562,3.926496983,9.325911522
6,1,1,4,19,5682,5670,12,2564,3.929562092,8.442739487
6,1,1,4,20,6007,5991,15,2559,3.92189908,17.23937035
6,1,1,4,21,6220,6206,13,2563,3.928029537,14.36959839
6,1,1,4,22,6668,6650,17,2559,3.92189908,8.13830471
6,1,1,4,23,7100,7085,14,2560,3.923431873,8.109488487
6,1,1,4,24,7363,7344,19,2557,3.918833971,12.23037148
6,1,1,4,25,7601,7583,17,2561,3.924964428,13.57871151
6,1,1,4,26,8133,8116,17,2559,3.92189908,17.20757294
6,1,1,4,27,8333,8313,20,2561,3.924964428,16.74368095
6,1,1,4,28,8687,8669,18,2559,3.92189908,13.04965019
6,1,1,4,29,9119,9099,19,2557,3.918833971,15.35318756
6,1,1,4,30,9652,9632,19,2558,3.920366526,11.36667728
6,1,1,4,1,266,265,0,2566,3.932627201,7.460120201
6,1,1,4,2,538,537,1,2566,3.932627201,8.127388
6,1,1,4,3,778,776,2,2566,3.932627201,7.125619888
6,1,1,4,4,1066,1064,2,2567,3.934159994,7.871204376
6,1,1,4,5,1346,1342,3,2569,3.937225103,7.306070805
6,1,1,4,6,1620,1616,3,2571,3.940290213,7.639250755
6,1,1,4,7,1939,1934,4,2572,3.941822767,8.504790306
6,1,1,4,8,2247,2242,5,2568,3.935692549,8.103349686
6,1,1,4,9,2477,2471,5,2570,3.938757658,13.41332817
6,1,1,4,10,2767,2760,6,2569,3.937225103,17.21489334
6,1,1,4,11,3013,3005,7,2566,3.932627201,13.82738304
6,1,1,4,12,3357,3349,7,2565,3.931094646,13.8995142
6,1,1,4,13,3792,3783,8,2572,3.941822767,11.38696194
6,1,1,4,14,4081,4072,9,2573,3.94335556,9.713921547
6,1,1,4,15,4359,4349,9,2571,3.940290213,13.15376949
6,1,1,4,16,4574,4564,10,2569,3.937225103,14.19585037
6,1,1,4,17,4887,4875,11,2570,3.938757658,13.44362354
6,1,1,4,18,5358,5346,11,2572,3.941822767,17.20058823
6,1,1,4,19,5552,5537,15,2566,3.932627201,16.98761559
6,1,1,4,20,5904,5891,13,2569,3.937225103,12.19769382
6,1,1,4,21,6215,6202,13,2573,3.94335556,16.1895256
6,1,1,4,22,6607,6588,18,2569,3.937225103,13.39028454
6,1,1,4,23,7093,7078,14,2568,3.935692549,10.2770586
6,1,1,4,24,7393,7374,18,2567,3.934159994,13.03186607
6,1,1,4,25,7621,7605,16,2568,3.935692549,17.8902874
6,1,1,4,26,8203,8186,17,2569,3.937225103,13.17836952
6,1,1,4,27,8445,8425,20,2568,3.935692549,16.83611298
6,1,1,4,28,8677,8658,18,2566,3.932627201,20.90807533
6,1,1,4,29,9059,9040,19,2570,3.938757658,13.42648315
6,1,1,4,30,9376,9353,22,2568,3.935692549,16.15484428
7,1,1,5,1,325,324,0,2632,4.033778191,14.71748066
7,1,1,5,2,640,639,1,2632,4.033778191,18.07651901
7,1,1,5,3,974,969,4,2632,4.033778191,18.1902504
7,1,1,5,4,1332,1328,3,2628,4.027647972,17.08470917
7,1,1,5,5,1707,1702,4,2630,4.030713081,14.95597935
7,1,1,5,6,2032,2026,5,2633,4.035310745,14.88801956
7,1,1,5,7,2380,2375,5,2628,4.027647972,20.78980637
7,1,1,5,8,2694,2687,7,2632,4.033778191,17.05199814
7,1,1,5,9,3109,3101,7,2633,4.035310745,13.2331419
7,1,1,5,10,3489,3477,12,2630,4.030713081,10.77287769
7,1,1,5,11,3825,3813,11,2630,4.030713081,15.77060032
7,1,1,5,12,4187,4177,9,2628,4.027647972,15.55165195
7,1,1,5,13,4548,4538,10,2629,4.029180527,14.89838028
7,1,1,5,14,5019,5004,14,2629,4.029180527,14.93003368
7,1,1,5,15,5360,5347,12,2630,4.030713081,13.19980812
7,1,1,5,16,5747,5729,17,2633,4.035310745,14.08604431
7,1,1,5,17,6318,6303,14,2627,4.026115417,7.260074615
7,1,1,5,18,6695,6680,15,2632,4.033778191,14.81591892
7,1,1,5,19,6987,6968,18,2628,4.027647972,13.41995335
7,1,1,5,20,7534,7517,16,2626,4.024582863,11.80427551
7,1,1,5,21,7823,7802,20,2634,4.0368433,16.0212841
7,1,1,5,22,8253,8235,18,2635,4.038375854,18.83063126
7,1,1,5,23,8720,8697,22,2629,4.029180527,17.83823967
7,1,1,5,24,9114,9094,19,2629,4.029180527,15.72765446
7,1,1,5,25,9616,9595,20,2629,4.029180527,13.19036007
7,1,1,5,26,10071,10049,21,2627,4.026115417,16.93973923
7,1,1,5,27,10502,10469,33,2627,4.026115417,11.87486649
7,1,1,5,28,11216,11189,26,2629,4.029180527,14.81703568
7,1,1,5,29,11626,11598,28,2631,4.032245636,14.24073315
7,1,1,5,30,11842,11815,27,2630,4.030713081,12.92599487
7,1,1,5,1,327,326,0,2633,4.03531074523926,10.87965965271
7,1,1,5,2,679,678,1,2633,4.03531074523926,14.0154685974121
7,1,1,5,3,1000,998,2,2633,4.03531074523926,8.8208589553833
7,1,1,5,4,1362,1359,3,2633,4.03531074523926,7.75007915496826
7,1,1,5,5,1687,1682,4,2630,4.03071308135986,6.35333871841431
7,1,1,5,6,2063,2058,4,2634,4.03684329986572,8.35401916503906
7,1,1,5,7,2407,2401,5,2630,4.03071308135986,19.1518154144287
7,1,1,5,8,2755,2749,6,2634,4.03684329986572,16.0874195098877
7,1,1,5,9,3097,3089,7,2634,4.03684329986572,16.2765808105469
7,1,1,5,10,3465,3457,8,2632,4.03377819061279,19.1235065460205
7,1,1,5,11,3840,3830,9,2630,4.03071308135986,12.4291667938232
7,1,1,5,12,4189,4176,13,2630,4.03071308135986,16.3508586883545
7,1,1,5,13,4767,4757,10,2631,4.03224563598633,8.85766220092773
7,1,1,5,14,5190,5176,14,2630,4.03071308135986,10.783145904541
7,1,1,5,15,5560,5547,12,2633,4.03531074523926,8.35081958770752
7,1,1,5,16,5902,5888,13,2633,4.03531074523926,17.4092864990234
7,1,1,5,17,6202,6185,16,2636,4.03990888595581,16.0639533996582
7,1,1,5,18,6574,6559,14,2633,4.03531074523926,14.6813230514526
7,1,1,5,19,7005,6990,15,2636,4.03990888595581,18.8743209838867
7,1,1,5,20,7445,7429,16,2633,4.03531074523926,14.7410917282104
7,1,1,5,21,7816,7798,17,2634,4.03684329986572,18.7416515350342
7,1,1,5,22,8288,8269,18,2631,4.03224563598633,15.2747373580933
7,1,1,5,23,8693,8670,22,2635,4.03837585449219,14.2041997909546
7,1,1,5,24,9157,9134,22,2629,4.0291805267334,14.020679473877
