Campus,Precinct,Reticulation,Building,Meter Name,Meter Type,meter_id,description,make,manufacturer,type,Serial Number,model,yard_number,Building_No,Floor,Room_No,Meter_Description,Latitude,Longitude,IP_Address,Port,Location,Starting date
-,Erica 11 kV,-,Heemstede Hooftoevoer,Lydia Toevoer,Energy,3137,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Erica 11 kV,-,Heemstede Hooftoevoer,Lydia Toevoer,Energy,2959,Lydia Toevoer,Elster,Kocos,A1140,68509031,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Erica 11 kV,-,Heemstede Hooftoevoer,Studente Gesondheid,Energy,3759,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Erica 11 kV,-,Heemstede Hooftoevoer,-,Energy,2997,Heemstede Hooftoevoer,Elster,Kocos,A1140,68509012,LiMo R2,-,-,-,-,-,-33.93514,18.86858,-,0,-,2022/05/01 00:00
Stellenbosch University,Erica 11 kV,-,Metanoia Hooftoevoer,Metanoia Heatpump,Energy,7121,Western Cape - Metanoia - Heat pumps,Elster,Kocos,A1140,88500424,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
Stellenbosch University,Erica 11 kV,-,Metanoia Hooftoevoer,Metanoia Kombuis,Energy,2743,Metanoia Kombuis,Elster,Kocos,A1700,61501659,LiMo-DIN,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
Stellenbosch University,Erica 11 kV,-,Metanoia Hooftoevoer,Metanoia Koshuis - VM Remainder,Energy,5455,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
Stellenbosch University,Erica 11 kV,-,Metanoia Hooftoevoer,-,Energy,2742,Metanoia Hooftoevoer,Elster,Kocos,A1700,61501621,LiMo-DIN,-,-,-,-,-,-33.93272,18.87169,146.232.146.140,8044,Local,2022/05/01 00:00
Stellenbosch University,Erica 11 kV,-,Minerva + Nerina Hoof Toevoer,Minerva + Nerina Hittepompe,Energy,2960,Minerva+Nerina Hittepompe,Elster,Kocos,A1140,68509040,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
Stellenbosch University,Erica 11 kV,-,Minerva + Nerina Hoof Toevoer,Minerva Kombuis,Energy,2736,Minerva Kombuis,Elster,Kocos,A1700,61501620,LiMo-DIN,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
Stellenbosch University,Erica 11 kV,-,Minerva + Nerina Hoof Toevoer,Minerva VM,Energy,5800,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
Stellenbosch University,Erica 11 kV,-,Minerva + Nerina Hoof Toevoer,Nerina Toevoer,Energy,3003,Nerina Kombuis,Elster,Kocos,A1140,68509076,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
Stellenbosch University,Erica 11 kV,-,Minerva + Nerina Hoof Toevoer,Nerina Toevoer,Energy,5910,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
Stellenbosch University,Erica 11 kV,-,Minerva + Nerina Hoof Toevoer,Nerina Toevoer,Energy,2734,Nerina Toevoer,Elster,Kocos,A1140,68509074,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
Stellenbosch University,Erica 11 kV,-,Minerva + Nerina Hoof Toevoer,-,Energy,2910,Minerva + Nerin Hoof Toevoer ,Elster,Kocos,A1140,68509041,LiMo R2,-,-,-,-,-,-33.93444665,18.87068557,146.232.146.140,8051,Local,2022/05/01 00:00
Stellenbosch University,Erica 11 kV,-,Nemesia Koshuis,-,Energy,2909,Nemesia Koshuis,Elster,Kocos,A1140,68509068,LiMo R2,-,-,-,-,-,-33.93531878,18.87245308,146.232.146.140,8052,Local,2022/05/01 00:00
Stellenbosch University,Erica 11 kV,-,Serruria Koshuis,-,Energy,2733,Serruria Koshuis,Elster,Kocos,A1140,68509046,LiMo R2,-,-,-,-,-,-33.93512735,18.87297651,146.232.146.140,8053,Local,2022/05/01 00:00
Stellenbosch University,Erica 11 kV,-,Tienie Louw Hooftoevoer,Tienie Louw Hittepompe,Energy,2969,Tienie Louw Hittepompe,Elster,Kocos,A1140,68500068,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
Stellenbosch University,Erica 11 kV,-,Tienie Louw Hooftoevoer,Tienie Louw Kombuis (Noodkrag),Energy,2953,Tienie Louw Kombuis (Noodkrag),Elster,Kocos,A1140,68500070,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
Stellenbosch University,Erica 11 kV,-,Tienie Louw Hooftoevoer,Tienie Louw Kombuis Warmwater,Energy,2952,Tienie Louw Kombuis Warmwater,Elster,Kocos,A1140,68508327,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
Stellenbosch University,Erica 11 kV,-,Tienie Louw Hooftoevoer,Tienie Louw Woonstelle,Energy,2951,Tienie Louw Woonstelle,Elster,Kocos,A1140,68500069,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
Stellenbosch University,Erica 11 kV,-,Tienie Louw Hooftoevoer,-,Energy,2970,Tienie Louw Hooftoevoer,Elster,Kocos,A1140,68500067,LiMo R2,-,-,-,-,-,-33.93483426,18.87178776,146.232.146.140,8058,Local,2022/05/01 00:00
Stellenbosch University,Helderberg 11 kV,-,-,-,Energy,3028,Helderberg 11 kV,Elster,Kocos,A1700,51500265,LiMo R2,-,-,-,-,-,-33.94015896,18.85937828,146.232.146.140,8063,Local,2022/05/01 00:00
Stellenbosch University,Helderberg 11 kV,-,Helderberg Hittepompe,-,Energy,2946,Helderberg Hittepompe,Elster,Kocos,A1140,68509007,LiMo R2,-,-,-,-,-,-33.94017,18.859384,146.232.146.140,8060,Local,2022/05/01 00:00
Stellenbosch University,Helderberg 11 kV,-,Helderberg Kombuis - Eetkamer,-,Energy,2735,Helderberg Kombuis (Eetkamer),Elster,Kocos,A1140,68509006,LiMo R2,-,-,-,-,-,-33.940175,18.85937,146.232.146.140,8061,Local,2022/05/01 00:00
Stellenbosch University,Helderberg 11 kV,-,Helderberg Koshuis - VM Remainder,-,Energy,3139,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-33.940165,18.859365,146.232.146.140,8062,Local,2022/05/01 00:00
Stellenbosch University,Huis Neethling,-,-,-,Energy,3027,Huis Neethling,Elster,Kocos,A1140,58508057,LiMo R2,-,-,-,-,-,-33.93644765,18.8697207,146.232.146.140,8064,Local,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,-,-,Energy,2666,Ingenieurswese 11 kV,Elster,Kocos,A1700,51500309,LiMo R2,-,-,-,-,-,-33.92850795,18.86615108,146.232.146.140,8100,Local,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Academia Oos,-,Energy,2923,Academia Oos,Elster,Kocos,A1700,51500268,LiMo R2,-,0,-,-,Academia  oos,-33.92660964,18.86951784,146.232.146.140,8065,Local,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Concordia Toevoer,Concordia Toevoer - VM Remainder,Energy,5796,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Concordia Toevoer,Concordia WW,Energy,2942,Concordia WW,Elster,Kocos,A1140,68509042,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Concordia Toevoer,-,Energy,2659,Concordia Toevoer,Elster,Kocos,A1140,68508109,LiMo R2,-,0,-,-,Concordia toevoer,-33.92625382,18.8684445,146.232.146.140,8069,Local,2022/05/01 00:00
